City;PLZ;State
Waiblingen;71334;Baden-Württemberg
Ostrach;88356;Baden-Württemberg
Aichwald;73773;Baden-Württemberg
Külsheim;97900;Baden-Württemberg
Schonach im Schwarzwald;78136;Baden-Württemberg
Durmersheim;76448;Baden-Württemberg
Bräunlingen;78199;Baden-Württemberg
Freudenstadt;72250;Baden-Württemberg
Donaueschingen;78166;Baden-Württemberg
Pfedelbach;74629;Baden-Württemberg
Uhingen;73066;Baden-Württemberg
Berg;88276;Baden-Württemberg
Ravensburg;88214;Baden-Württemberg
Westerheim;72589;Baden-Württemberg
Untermarchtal;89617;Baden-Württemberg
Dürnau;73105;Baden-Württemberg
Malterdingen;79364;Baden-Württemberg
Freiburg im Breisgau;79106;Baden-Württemberg
Freiburg im Breisgau;79117;Baden-Württemberg
Offenburg;77656;Baden-Württemberg
Todtnau;79674;Baden-Württemberg
Offenburg;77654;Baden-Württemberg
Ohlsbach;77797;Baden-Württemberg
Murg;79730;Baden-Württemberg
Schluchsee;79859;Baden-Württemberg
Lörrach;79541;Baden-Württemberg
Eichstetten;79356;Baden-Württemberg
Pfaffenweiler;79292;Baden-Württemberg
Freiburg im Breisgau;79114;Baden-Württemberg
Dornstadt;89160;Baden-Württemberg
Lauterstein;73111;Baden-Württemberg
Böbingen an der Rems;73560;Baden-Württemberg
Schechingen;73579;Baden-Württemberg
Kirchberg an der Jagst;74592;Baden-Württemberg
Schwendi;88477;Baden-Württemberg
Aichstetten;88317;Baden-Württemberg
Berkheim;88450;Baden-Württemberg
Aalen;73431;Baden-Württemberg
Herbrechtingen;89542;Baden-Württemberg
Kreßberg;74594;Baden-Württemberg
Mannheim;68219;Baden-Württemberg
Birkenfeld;75217;Baden-Württemberg
Oberreichenbach;75394;Baden-Württemberg
Ubstadt-Weiher;76698;Baden-Württemberg
Pforzheim;75177;Baden-Württemberg
Heidelberg;69117;Baden-Württemberg
Heidelberg;69118;Baden-Württemberg
Jettingen;71131;Baden-Württemberg
Starzach;72181;Baden-Württemberg
Balingen;72336;Baden-Württemberg
Mühlacker;75417;Baden-Württemberg
Rangendingen;72414;Baden-Württemberg
Nufringen;71154;Baden-Württemberg
Ehningen;71139;Baden-Württemberg
Radolfzell am Bodensee;78315;Baden-Württemberg
Eberdingen;71735;Baden-Württemberg
Brackenheim;74336;Baden-Württemberg
Markgröningen;71706;Baden-Württemberg
Bönnigheim;74357;Baden-Württemberg
Korntal-Münchingen;70825;Baden-Württemberg
Konstanz;78467;Baden-Württemberg
Esslingen am Neckar;73730;Baden-Württemberg
Riedlingen;88499;Baden-Württemberg
Burgstetten;71576;Baden-Württemberg
Herbertingen;88518;Baden-Württemberg
Kippenheim;77971;Baden-Württemberg
Forbach;76596;Baden-Württemberg
Seewald;72297;Baden-Württemberg
Hardt;78739;Baden-Württemberg
Freiburg im Breisgau;79115;Baden-Württemberg
Rheinau;77866;Baden-Württemberg
Renchen;77871;Baden-Württemberg
Friedrichshafen;88045;Baden-Württemberg
Ebersbach-Musbach;88371;Baden-Württemberg
Krautheim;74238;Baden-Württemberg
Baienfurt;88255;Baden-Württemberg
Auggen;79424;Baden-Württemberg
Unterstadion;89619;Baden-Württemberg
Mittelbiberach;88441;Baden-Württemberg
Stadt Schwäbisch Gmünd;73525;Baden-Württemberg
Igersheim;97999;Baden-Württemberg
Lonsee;89173;Baden-Württemberg
Mietingen;88487;Baden-Württemberg
Nattheim;89564;Baden-Württemberg
Tannhausen;73497;Baden-Württemberg
Bad Dürrheim;78073;Baden-Württemberg
Malsch;69254;Baden-Württemberg
Calw;75365;Baden-Württemberg
Rottenburg am Neckar;72108;Baden-Württemberg
Weilen unter den Rinnen;72367;Baden-Württemberg
Dormettingen;72358;Baden-Württemberg
Simmozheim;75397;Baden-Württemberg
Aach;78267;Baden-Württemberg
Eigeltingen;78253;Baden-Württemberg
Grosselfingen;72415;Baden-Württemberg
Bärenthal;78580;Baden-Württemberg
Stuttgart;70499;Baden-Württemberg
Besigheim;74354;Baden-Württemberg
Stuttgart;70435;Baden-Württemberg
Bingen;72511;Baden-Württemberg
Marbach am Neckar;71672;Baden-Württemberg
Langenenslingen;88515;Baden-Württemberg
Oberstenfeld;71720;Baden-Württemberg
St. Johann;72813;Baden-Württemberg
Affalterbach;71563;Baden-Württemberg
Berglen;73663;Baden-Württemberg
Wolpertswende;88284;Baden-Württemberg
Ravensburg;88212;Baden-Württemberg
Lorch;73547;Baden-Württemberg
Buggingen;79426;Baden-Württemberg
Rust;77977;Baden-Württemberg
Kappel-Grafenhausen;77966;Baden-Württemberg
Zell im Wiesental;79669;Baden-Württemberg
Freiamt;79348;Baden-Württemberg
Furtwangen im Schwarzwald;78120;Baden-Württemberg
Bietigheim;76467;Baden-Württemberg
Karlsruhe;76149;Baden-Württemberg
Wutach;79879;Baden-Württemberg
Hartheim;79258;Baden-Württemberg
Bahlingen am Kaiserstuhl;79353;Baden-Württemberg
Bad Bellingen;79415;Baden-Württemberg
Villingen-Schwenningen;78050;Baden-Württemberg
Fluorn-Winzeln;78737;Baden-Württemberg
Waghäusel;68753;Baden-Württemberg
Ilvesheim;68549;Baden-Württemberg
Forst;76694;Baden-Württemberg
Bad Schönborn;76669;Baden-Württemberg
Pforzheim;75172;Baden-Württemberg
Gaiberg;69251;Baden-Württemberg
Deilingen;78586;Baden-Württemberg
Lobbach;74931;Baden-Württemberg
Altdorf;71155;Baden-Württemberg
Überlingen;88662;Baden-Württemberg
Gemmrigheim;74376;Baden-Württemberg
Stuttgart;70176;Baden-Württemberg
Reutlingen;72762;Baden-Württemberg
Stuttgart/Leinfelden-Echterdingen;70629;Baden-Württemberg
Heilbronn;74076;Baden-Württemberg
Frickingen;88699;Baden-Württemberg
Reutlingen;72766;Baden-Württemberg
Stuttgart;70374;Baden-Württemberg
Remseck am Neckar;71686;Baden-Württemberg
Abstatt;74232;Baden-Württemberg
Beilstein;71717;Baden-Württemberg
Kohlberg;72664;Baden-Württemberg
Schwaikheim;71409;Baden-Württemberg
Bad Saulgau, Allmannsweiler;88348;Baden-Württemberg
Königseggwald;88376;Baden-Württemberg
Hoßkirch;88374;Baden-Württemberg
Rosengarten;74538;Baden-Württemberg
Berghülen;89180;Baden-Württemberg
Bühlerzell;74426;Baden-Württemberg
Jagstzell;73489;Baden-Württemberg
Heidenheim an der Brenz;89518;Baden-Württemberg
Kirchheim am Ries;73467;Baden-Württemberg
Freiburg im Breisgau;79115;Baden-Württemberg
Wehr;79664;Baden-Württemberg
Offenburg;77652;Baden-Württemberg
Herrischried;79737;Baden-Württemberg
Berghaupten;77791;Baden-Württemberg
Elzach, Biederbach;79215;Baden-Württemberg
Winden im Elztal;79297;Baden-Württemberg
Bad Herrenalb;76332;Baden-Württemberg
Sulzbach an der Murr;71560;Baden-Württemberg
Lichtenwald;73669;Baden-Württemberg
Göppingen;73035;Baden-Württemberg
Bergatreute;88368;Baden-Württemberg
Eberhardzell;88436;Baden-Württemberg
Ulm;89073;Baden-Württemberg
Neenstetten;89189;Baden-Württemberg
Balzheim;88481;Baden-Württemberg
Satteldorf;74589;Baden-Württemberg
Rammingen;89192;Baden-Württemberg
Giengen an der Brenz;89537;Baden-Württemberg
Mönchweiler;78087;Baden-Württemberg
Mannheim;68159;Baden-Württemberg
Glatten;72293;Baden-Württemberg
Straubenhardt;75334;Baden-Württemberg
Grömbach;72294;Baden-Württemberg
Keltern;75210;Baden-Württemberg
Wörnersberg;72299;Baden-Württemberg
Sankt Leon-Rot;68789;Baden-Württemberg
Talheim;78607;Baden-Württemberg
Aldingen;78554;Baden-Württemberg
Denkingen;78588;Baden-Württemberg
Mauer;69256;Baden-Württemberg
Wurmberg;75449;Baden-Württemberg
Schönbrunn;69436;Baden-Württemberg
Ammerbuch;72119;Baden-Württemberg
Neuhausen ob Eck;78579;Baden-Württemberg
Obrigheim;74847;Baden-Württemberg
Straßberg;72479;Baden-Württemberg
Hohenfels;78355;Baden-Württemberg
Neufra;72419;Baden-Württemberg
Kirchentellinsfurt;72138;Baden-Württemberg
Stuttgart;70439;Baden-Württemberg
Stuttgart;70178;Baden-Württemberg
Altenriet;72657;Baden-Württemberg
Konstanz;78464;Baden-Württemberg
Reutlingen;72760;Baden-Württemberg
Reutlingen;72764;Baden-Württemberg
Salem;88682;Baden-Württemberg
Neckartailfingen;72666;Baden-Württemberg
Neuenstadt am Kocher;74196;Baden-Württemberg
Köngen;73257;Baden-Württemberg
Deizisau;73779;Baden-Württemberg
Erkenbrechtsweiler;73268;Baden-Württemberg
Forchheim;79362;Baden-Württemberg
Lahr/Schwarzwald;77933;Baden-Württemberg
Kehl;77694;Baden-Württemberg
Hausen im Wiesental;79688;Baden-Württemberg
Lichtenau;77839;Baden-Württemberg
Sankt Peter;79271;Baden-Württemberg
Dachsberg;79875;Baden-Württemberg
Ravenstein;74747;Baden-Württemberg
Albershausen;73095;Baden-Württemberg
Künzelsau, Ingelfingen;74653;Baden-Württemberg
Eggingen;79805;Baden-Württemberg
Eschbronn;78664;Baden-Württemberg
Mannheim;68239;Baden-Württemberg
Deißlingen;78652;Baden-Württemberg
Trossingen;78647;Baden-Württemberg
Gondelsheim;75053;Baden-Württemberg
Östringen;76684;Baden-Württemberg
Gosheim;78559;Baden-Württemberg
Sternenfels;75447;Baden-Württemberg
Gärtringen;71116;Baden-Württemberg
Volkertshausen;78269;Baden-Württemberg
Renquishausen;78603;Baden-Württemberg
Leibertingen, Buchheim;88637;Baden-Württemberg
Stockach;78333;Baden-Württemberg
Tübingen;72070;Baden-Württemberg
Tübingen;72072;Baden-Württemberg
Burladingen;72393;Baden-Württemberg
Tübingen;72074;Baden-Württemberg
Haßmersheim;74855;Baden-Württemberg
Limbach;74838;Baden-Württemberg
Walddorfhäslach;72141;Baden-Württemberg
Stuttgart;70199;Baden-Württemberg
Flein;74223;Baden-Württemberg
Überlingen;88662;Baden-Württemberg
Benningen am Neckar;71726;Baden-Württemberg
Scheer;72516;Baden-Württemberg
Möckmühl;74219;Baden-Württemberg
Waiblingen;71336;Baden-Württemberg
Ellhofen;74248;Baden-Württemberg
Illmensee;88636;Baden-Württemberg
Hardthausen am Kocher;74239;Baden-Württemberg
Hayingen;72534;Baden-Württemberg
Ebersbach an der Fils;73061;Baden-Württemberg
Bad Schussenried;88427;Baden-Württemberg
Mühlhausen im Täle;73347;Baden-Württemberg
Alfdorf, Schillinghof;73553;Baden-Württemberg
Gammelshausen;73108;Baden-Württemberg
Schwörstadt;79739;Baden-Württemberg
Freiburg im Breisgau;79117;Baden-Württemberg
Buchenbach;79256;Baden-Württemberg
Lautenbach;77794;Baden-Württemberg
Grafenhausen;79865;Baden-Württemberg
Bollschweil;79283;Baden-Württemberg
Fichtenberg;74427;Baden-Württemberg
Wangen im Allgäu;88239;Baden-Württemberg
Altheim;89605;Baden-Württemberg
Allmendingen;89604;Baden-Württemberg
Donzdorf;73072;Baden-Württemberg
Langenburg;74595;Baden-Württemberg
Burgrieden;88483;Baden-Württemberg
Ulm;89075;Baden-Württemberg
Wallhausen;74599;Baden-Württemberg
Riesbürg;73469;Baden-Württemberg
Schliengen;79418;Baden-Württemberg
Hasel;79686;Baden-Württemberg
Biberach;77781;Baden-Württemberg
Sinzheim;76547;Baden-Württemberg
Bad Waldsee;88339;Baden-Württemberg
Ilshofen;74532;Baden-Württemberg
Frankenhardt;74586;Baden-Württemberg
Rot an der Rot;88430;Baden-Württemberg
Stimpfach;74597;Baden-Württemberg
Bissingen an der Teck;73266;Baden-Württemberg
Friedrichshafen;88046;Baden-Württemberg
Großerlach;71577;Baden-Württemberg
Meckenbeuren;88074;Baden-Württemberg
Börtlingen;73104;Baden-Württemberg
Kandern;79400;Baden-Württemberg
Bad Krozingen;79189;Baden-Württemberg
Hornberg;78132;Baden-Württemberg
Karlsruhe;76139;Baden-Württemberg
Bruchsal;76646;Baden-Württemberg
Kämpfelbach;75236;Baden-Württemberg
Neubulach;75387;Baden-Württemberg
Ebhausen;72224;Baden-Württemberg
Bad Liebenzell;75378;Baden-Württemberg
Eisingen;75239;Baden-Württemberg
Zaisenhausen;75059;Baden-Württemberg
Wiesenbach;69257;Baden-Württemberg
Königsheim;78598;Baden-Württemberg
Illingen;75428;Baden-Württemberg
Sachsenheim;74343;Baden-Württemberg
Vaihingen an der Enz;71665;Baden-Württemberg
Schwaigern;74193;Baden-Württemberg
Rottenburg am Neckar;72108;Baden-Württemberg
Reichenau;78479;Baden-Württemberg
Herdwangen-Schönach;88634;Baden-Württemberg
Stuttgart;70192;Baden-Württemberg
Stuttgart;70174;Baden-Württemberg
Stuttgart;70599;Baden-Württemberg
Billigheim;74842;Baden-Württemberg
Stuttgart;70376;Baden-Württemberg
Pleidelsheim;74385;Baden-Württemberg
Fellbach;70734;Baden-Württemberg
Mengen;88512;Baden-Württemberg
Meersburg;88709;Baden-Württemberg
Immenstaad am Bodensee;88090;Baden-Württemberg
Gomadingen;72532;Baden-Württemberg
Obersulm;74182;Baden-Württemberg
Altbach;73776;Baden-Württemberg
Münsingen;72525;Baden-Württemberg
Jagsthausen;74249;Baden-Württemberg
Oberteuringen;88094;Baden-Württemberg
Lenningen;73252;Baden-Württemberg
Leutenbach;71397;Baden-Württemberg
Königheim;97953;Baden-Württemberg
Ehingen (Donau), Lauterach;89584;Baden-Württemberg
Eriskirch;88097;Baden-Württemberg
Werbach;97956;Baden-Württemberg
Zell unter Aichelberg;73119;Baden-Württemberg
Aulendorf;88326;Baden-Württemberg
Wangen;73117;Baden-Württemberg
Eschbach;79427;Baden-Württemberg
Ihringen;79241;Baden-Württemberg
Herbolzheim;79336;Baden-Württemberg
Baden-Baden;76534;Baden-Württemberg
Schuttertal;77978;Baden-Württemberg
Neuenburg am Rhein;79395;Baden-Württemberg
Villingen-Schwenningen;78052;Baden-Württemberg
Bad Teinach-Zavelstein;75385;Baden-Württemberg
Bretten;75015;Baden-Württemberg
Neulingen;75245;Baden-Württemberg
Haigerloch;72401;Baden-Württemberg
Neckargemünd;69151;Baden-Württemberg
Mötzingen;71159;Baden-Württemberg
Friolzheim;71292;Baden-Württemberg
Hildrizhausen;71157;Baden-Württemberg
Albstadt;72461;Baden-Württemberg
Stetten am kalten Markt;72510;Baden-Württemberg
Sigmaringen;72488;Baden-Württemberg
Owingen;88696;Baden-Württemberg
Reutlingen;72770;Baden-Württemberg
Asperg;71679;Baden-Württemberg
Stuttgart;70437;Baden-Württemberg
Stuttgart;70186;Baden-Württemberg
Heilbronn;74072;Baden-Württemberg
Stuttgart;70378;Baden-Württemberg
Esslingen am Neckar;73734;Baden-Württemberg
Neuffen;72639;Baden-Württemberg
Dörzbach;74677;Baden-Württemberg
Kißlegg;88353;Baden-Württemberg
Westerstetten;89198;Baden-Württemberg
Steinheim am Albuch;89555;Baden-Württemberg
Dietenheim;89165;Baden-Württemberg
Stimpfach;74597;Baden-Württemberg
Hermaringen;89568;Baden-Württemberg
Freiburg im Breisgau;79100;Baden-Württemberg
Seelbach;77960;Baden-Württemberg
St. Märgen;79274;Baden-Württemberg
Weisweil;79367;Baden-Württemberg
Inzlingen;79594;Baden-Württemberg
Schwanau;77963;Baden-Württemberg
Wäschenbeuren;73116;Baden-Württemberg
Rottenacker;89616;Baden-Württemberg
Ingoldingen;88456;Baden-Württemberg
Großrinderfeld;97950;Baden-Württemberg
Mutlangen;73557;Baden-Württemberg
Schrozberg;74575;Baden-Württemberg
Iggingen;73574;Baden-Württemberg
Bartholomä;73566;Baden-Württemberg
Stödtlen;73495;Baden-Württemberg
Tannhausen;73497;Baden-Württemberg
Dunningen;78655;Baden-Württemberg
Blumberg;78176;Baden-Württemberg
Zimmern ob Rottweil;78658;Baden-Württemberg
Lottstetten;79807;Baden-Württemberg
Heddesheim;68542;Baden-Württemberg
Kronau;76709;Baden-Württemberg
Laudenbach;69514;Baden-Württemberg
Dietingen;78661;Baden-Württemberg
Engelsbrand;75331;Baden-Württemberg
Heidelberg;69121;Baden-Württemberg
Leimen;69181;Baden-Württemberg
Gunningen;78594;Baden-Württemberg
Oberderdingen;75038;Baden-Württemberg
Reichartshausen;74934;Baden-Württemberg
Sindelfingen;71065;Baden-Württemberg
Kirchheim am Neckar;74366;Baden-Württemberg
Filderstadt;70794;Baden-Württemberg
Bad Friedrichshall;74177;Baden-Württemberg
Marbach am Neckar;71672;Baden-Württemberg
Roigheim;74255;Baden-Württemberg
Adelsheim;74740;Baden-Württemberg
Hülben;72584;Baden-Württemberg
Wernau (Neckar);73249;Baden-Württemberg
Hausach;77756;Baden-Württemberg
Bonndorf im Schwarzwald;79848;Baden-Württemberg
Löffingen;79843;Baden-Württemberg
Villingen-Schwenningen;78052;Baden-Württemberg
Eggenstein-Leopoldshafen;76344;Baden-Württemberg
Rosenberg;74749;Baden-Württemberg
Allmersbach im Tal;71573;Baden-Württemberg
Hochdorf;73269;Baden-Württemberg
Unterwaldhausen;88379;Baden-Württemberg
Dürmentingen;88525;Baden-Württemberg
Wiesensteig;73349;Baden-Württemberg
Müllheim;79379;Baden-Württemberg
Heitersheim;79423;Baden-Württemberg
Heitersheim;79423;Baden-Württemberg
Hügelsheim;76549;Baden-Württemberg
Ottenhöfen im Schwarzwald;77883;Baden-Württemberg
Bad Rippoldsau-Schapbach;77776;Baden-Württemberg
Freudenstadt;72250;Baden-Württemberg
Gernsbach;76593;Baden-Württemberg
Malsch;76316;Baden-Württemberg
Donaueschingen;78166;Baden-Württemberg
Oberried;79254;Baden-Württemberg
Waldkirch;79183;Baden-Württemberg
Görwihl;79733;Baden-Württemberg
Stadt Schwäbisch Gmünd;73529;Baden-Württemberg
Bodnegg;88285;Baden-Württemberg
Salach;73084;Baden-Württemberg
Gerabronn;74582;Baden-Württemberg
Gerstetten;89547;Baden-Württemberg
Crailsheim;74564;Baden-Württemberg
Isny im Allgäu;88316;Baden-Württemberg
Langenau;89129;Baden-Württemberg
Wört;73499;Baden-Württemberg
Villingen-Schwenningen;78048;Baden-Württemberg
Bad Wildbad;75323;Baden-Württemberg
Leimen;69181;Baden-Württemberg
Heidelberg;69115;Baden-Württemberg
Hilzingen;78247;Baden-Württemberg
Renningen;71272;Baden-Württemberg
Allensbach;78476;Baden-Württemberg
Binau;74862;Baden-Württemberg
Bitz;72475;Baden-Württemberg
Fahrenbach;74864;Baden-Württemberg
Gundelsheim;74831;Baden-Württemberg
Stuttgart;70193;Baden-Württemberg
Reutlingen;72768;Baden-Württemberg
Veringenstadt;72519;Baden-Württemberg
Krauchenwies;72505;Baden-Württemberg
Sigmaringendorf;72517;Baden-Württemberg
Neuhausen auf den Fildern;73765;Baden-Württemberg
Mengen;88512;Baden-Württemberg
Winnenden;71364;Baden-Württemberg
Backnang;71522;Baden-Württemberg
Riedhausen;88377;Baden-Württemberg
Forchtenberg;74670;Baden-Württemberg
Weilheim an der Teck;73235;Baden-Württemberg
Neidlingen;73272;Baden-Württemberg
Schwäbisch Hall;74523;Baden-Württemberg
Kupferzell;74635;Baden-Württemberg
Titisee-Neustadt;79822;Baden-Württemberg
Rastatt;76437;Baden-Württemberg
Baden-Baden;76532;Baden-Württemberg
Küssaberg;79790;Baden-Württemberg
Karlsruhe;76189;Baden-Württemberg
Malsburg-Marzell;79429;Baden-Württemberg
Nordrach;77787;Baden-Württemberg
Eislingen/Fils;73054;Baden-Württemberg
Ottenbach;73113;Baden-Württemberg
Laupheim;88471;Baden-Württemberg
Argenbühl;88260;Baden-Württemberg
Bartholomä;73566;Baden-Württemberg
Aalen;73434;Baden-Württemberg
Aalen;73433;Baden-Württemberg
Heidenheim an der Brenz;89520;Baden-Württemberg
Niederstotzingen;89168;Baden-Württemberg
Sontheim an der Brenz;89567;Baden-Württemberg
Bösingen;78662;Baden-Württemberg
Remchingen;75196;Baden-Württemberg
Walzbachtal;75045;Baden-Württemberg
Weinheim;69469;Baden-Württemberg
Sindelfingen;71069;Baden-Württemberg
Magstadt;71106;Baden-Württemberg
Oberriexingen;71739;Baden-Württemberg
Massenbachhausen;74252;Baden-Württemberg
Kornwestheim;70806;Baden-Württemberg
Ludwigsburg;71640;Baden-Württemberg
Walldürn;74731;Baden-Württemberg
Waiblingen;71332;Baden-Württemberg
Hardheim;74736;Baden-Württemberg
Kirchheim unter Teck;73230;Baden-Württemberg
Reichenbach an der Fils;73262;Baden-Württemberg
Aichelberg;73101;Baden-Württemberg
Bad Boll;73087;Baden-Württemberg
Gruibingen;73344;Baden-Württemberg
Assamstadt;97959;Baden-Württemberg
Horgenzell;88263;Baden-Württemberg
Altshausen;88361;Baden-Württemberg
Althütte;71566;Baden-Württemberg
Seebach;77889;Baden-Württemberg
Rheinstetten;76287;Baden-Württemberg
Karlsruhe;76199;Baden-Württemberg
Karlsruhe;76137;Baden-Württemberg
Wyhl;79369;Baden-Württemberg
Schallstadt;79227;Baden-Württemberg
Steinen;79585;Baden-Württemberg
Riegel Kaiserstuhl;79359;Baden-Württemberg
Neukirch;88099;Baden-Württemberg
Warthausen;88447;Baden-Württemberg
Mulfingen;74673;Baden-Württemberg
Ochsenhausen;88416;Baden-Württemberg
Abtsgmünd;73453;Baden-Württemberg
Heubach;73540;Baden-Württemberg
Rot am See;74585;Baden-Württemberg
Laupheim;88471;Baden-Württemberg
Niederstotzingen;89168;Baden-Württemberg
Ketsch;68775;Baden-Württemberg
Oberndorf am Neckar;78727;Baden-Württemberg
Epfendorf;78736;Baden-Württemberg
Vöhringen;72189;Baden-Württemberg
Wildberg;72218;Baden-Württemberg
Wellendingen;78669;Baden-Württemberg
Simmozheim;75397;Baden-Württemberg
Dotternhausen;72359;Baden-Württemberg
Ötisheim;75443;Baden-Württemberg
Herrenberg;71083;Baden-Württemberg
Bisingen;72406;Baden-Württemberg
Hechingen;72379;Baden-Württemberg
Dußlingen;72144;Baden-Württemberg
Siegelsbach;74936;Baden-Württemberg
Dettenhausen;72135;Baden-Württemberg
Neckarzimmern;74865;Baden-Württemberg
Ludwigsburg;71636;Baden-Württemberg
Talheim;74388;Baden-Württemberg
Stuttgart;70327;Baden-Württemberg
Untergruppenbach;74199;Baden-Württemberg
Hohentengen;88367;Baden-Württemberg
Oberboihingen;72644;Baden-Württemberg
Zwiefalten;88529;Baden-Württemberg
Köngen;73257;Baden-Württemberg
Grabenstetten;72582;Baden-Württemberg
Merzhausen;79249;Baden-Württemberg
Freiburg im Breisgau;79098;Baden-Württemberg
Freiburg im Breisgau;79108;Baden-Württemberg
Gutach im Breisgau;79261;Baden-Württemberg
Bernau im Schwarzwald;79872;Baden-Württemberg
Mühlenbach;77796;Baden-Württemberg
Blaubeuren;89143;Baden-Württemberg
Grünsfeld;97947;Baden-Württemberg
Stadt Schwäbisch Gmünd;73529;Baden-Württemberg
Vogt;88267;Baden-Württemberg
Wolpertshausen;74549;Baden-Württemberg
Leinzell;73575;Baden-Württemberg
Ilshofen;74532;Baden-Württemberg
Ulm;89081;Baden-Württemberg
Creglingen;97993;Baden-Württemberg
Aitrach;88319;Baden-Württemberg
Illerrieden;89186;Baden-Württemberg
Lauchheim;73466;Baden-Württemberg
Riesbürg;73469;Baden-Württemberg
Oberhausen-Rheinhausen;68794;Baden-Württemberg
Rottweil;78628;Baden-Württemberg
Heidelberg;69124;Baden-Württemberg
Hausen ob Verena;78595;Baden-Württemberg
Maulbronn;75433;Baden-Württemberg
Weil der Stadt;71263;Baden-Württemberg
Rielasingen-Worblingen;78239;Baden-Württemberg
Obernheim;72364;Baden-Württemberg
Wiernsheim;75446;Baden-Württemberg
Rutesheim;71277;Baden-Württemberg
Reichenau;78479;Baden-Württemberg
Pfullingen;72793;Baden-Württemberg
Stuttgart;70191;Baden-Württemberg
Ostfildern;73760;Baden-Württemberg
Heiligenberg;88633;Baden-Württemberg
Daisendorf;88718;Baden-Württemberg
Freudenberg, Collenberg;97896;Baden-Württemberg
Eberstadt;74246;Baden-Württemberg
Widdern;74259;Baden-Württemberg
Neuried;77743;Baden-Württemberg
Teningen;79331;Baden-Württemberg
Maulburg;79689;Baden-Württemberg
Ebringen;79285;Baden-Württemberg
Höchenschwand;79862;Baden-Württemberg
Dogern;79804;Baden-Württemberg
Steinmauern;76479;Baden-Württemberg
Ebenweiler;88370;Baden-Württemberg
Holzmaden;73271;Baden-Württemberg
Weingarten;88250;Baden-Württemberg
Heroldstatt;72535;Baden-Württemberg
Freiburg im Breisgau;79106;Baden-Württemberg
Gütenbach;78148;Baden-Württemberg
Baden-Baden;76530;Baden-Württemberg
Karlsruhe;76187;Baden-Württemberg
